Name,Biome,Bioregion,Threat Status,Endemic,Area,Ha,Coverage
Central Sandy Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,6925698179.5748,692569.8180,13%
Dwaalboom Thornveld,Savanna,Central Bushveld Bioregion,Least Concern,Likely not endemic,5318489289.8239,531848.9290,10%
Dwarsberg-Swartruggens Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Likely not endemic,23409440.4010,2340.9440,0%
Limpopo Ridge Bushveld,Savanna,Mopane Bioregion,Least Concern,Likely not endemic,17029661.8185,1702.9662,0%
Limpopo Sweet Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Likely not endemic,10217933180.7671,1021793.3181,19%
Loskop Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,65960366.9598,6596.0367,0%
Madikwe Dolomite Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Likely not endemic,392158235.6143,39215.8236,1%
Makhado Sweet Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,3077792330.6246,307779.2331,6%
Mamabolo Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,200564947.6396,20056.4948,0%
Musina Mopane Bushveld,Savanna,Mopane Bioregion,Least Concern,Likely not endemic,205856693.8759,20585.6694,0%
Pilanesberg Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,129033307.6973,12903.3308,0%
Polokwane Plateau Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,865518155.1058,86551.8155,2%
Poung Dolomite Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,57625180.9575,5762.5181,0%
Roodeberg Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Unsure - needs research,5259320073.1104,525932.0073,10%
Springbokvlakte Thornveld,Savanna,Central Bushveld Bioregion,Vulnerable,Endemic,5187758325.9979,518775.8326,10%
Strydpoort Summit Sourveld,Grassland,Mesic Highveld Grassland Bioregion,Least Concern,Endemic,76108890.6140,7610.8891,0%
Subtropical Alluvial Vegetation,Azonal Vegetation,Alluvial Vegetation,Least Concern,Likely not endemic,185523055.8062,18552.3056,0%
Waterberg-Magaliesberg Summit Sourveld,Grassland,Mesic Highveld Grassland Bioregion,Least Concern,Endemic,500964905.2048,50096.4905,1%
Waterberg Mountain Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Endemic,8823615752.1041,882361.5752,16%
Western Sandy Bushveld,Savanna,Central Bushveld Bioregion,Least Concern,Unsure - needs research,5838193066.2867,583819.3066,11%
Zeerust Thornveld,Savanna,Central Bushveld Bioregion,Least Concern,Likely not endemic,159531579.2697,15953.1579,0%
