Municipality,Total ha,Coverage %,Core ha,Buffer ha,Transition ha
TSHWANE,0.0000,0.0000,0.0000,0.0000,0.0000
METSWEDING,0.0000,0.0000,0.0000,0.0000,0.0000
MODIMOLLE (LIM365),616234.8259,98.9481,86478.4252,281085.4025,248670.9982
Dr JS Moroka Local Municipality(MP316),0.0000,0.0000,0.0000,0.0000,0.0000
Thembisile Local Municipality(MP315),0.0000,0.0000,0.0000,0.0000,0.0000
MOOKGOPONG (LIM364),125030.3087,29.2764,26782.4258,82420.8753,15827.0076
AGANANG (LIM352),165074.9120,88.2284,0.0000,20785.1785,144289.7335
LEPELE-NKUMPI (LIM355),10968.0803,3.1668,9494.9508,1473.1295,0.0000
ELIAS MOTSOALEDI (LIM472),0.0000,0.0000,0.0000,0.0000,0.0000
BELA-BELA (LIM366),131937.5851,39.0814,5939.2296,81753.5190,44244.8365
THABAZIMBI (LIM361),714347.7354,72.4326,263136.4555,410525.5403,40685.7395
MOSES KOTANE (NW375),18022.1426,3.1512,4850.6138,13171.5288,0.0000
GREATER MARBLE HALL (LIM471),0.0000,0.0000,0.0000,0.0000,0.0000
POLOKWANE (LIM354),17274.5734,4.5870,7315.5160,9791.9498,167.1075
MOGALAKWENA (LIM367),604960.1700,98.1114,123336.4459,241883.5985,239740.1255
LEPHALALE (LIM362),674640.6878,34.4180,193618.4714,413085.6303,67936.5861
BLOUBERG (LIM351),25582.4225,5.6342,58.6364,25519.5089,4.2772
MUSINA (LIM341),0.0000,0.0000,0.0000,0.0000,0.0000
MAKHADO (LIM344),0.0000,0.0000,0.0000,0.0000,0.0000
MOLEMOLE (LIM353),1753.1730,0.5238,0.0000,1752.5806,0.5925
RAMOTSHERE MOILOA (NW385),12612.9377,1.7536,12611.7125,1.2252,0.0000
RUSTENBURG (NW373),0.0000,0.0000,0.0000,0.0000,0.0000
MADIBENG (NW372),11784.9206,3.0696,2900.8545,8884.0661,0.0000
MORETELE (NW371),0.0000,0.0000,0.0000,0.0000,0.0000
